id,refresh_rate,technology,resolution,size,brightness,ram,storage,features,capacity,fast_charge,wireless_charge,chipset,material,weight,dimensions,sim,gps,bluetooth,jack,wifi,nfc,sensors,waterproof,name,version,speaker,productID,product_name
510,60Hz,"Retina Display, True Tone",2560x1600,13.3 inch,,8GB,256GB SSD,  Force Touch trackpad,Pin lithium-polymer 49.9Wh,USB-C 30W,False,Apple - M1,Vỏ kim loại nguyên khối,1.29kg,304.1 x 212.4 x 4.1 ~ 16.1 (mm),,,"Wi-Fi 6
Bluetooth v5.0",False,"Wi-Fi 6
Bluetooth v5.0",,Không,,macOS,macOS,"Âm thanh stereo, Dolby Atmos",510,MacBook Air M1 13 inch (8GB/256GB) - Chính hãng Apple Việt Nam
511,,,,,,16GB,512GB SSD,,,,False,Apple - M4,,0.67 kg,"12,7 x 12,7 x 5,0 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,Loa tích hợp,511,Mac Mini M4 2024 10CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam
512,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2560x1664,13.6 inch,,24GB,512GB SSD,  Force Touch trackpad,52.6 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,False,Apple - M3,Kim loại,1.24kg,"Cao: 1,13 cm
Rộng: 30,41 cm
Dài: 21,5 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh bốn loa
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với tính năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng (M3)
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video (M3)
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",512,MacBook Air M3 13.6 inch 8CPU 10GPU 24GB/512GB - Chính hãng Apple Việt Nam
513,60Hz,True Tone,4480x2520,24 inch,,16GB,512GB SSD,  Đang cập nhật,Đang cập nhật,Adapter 143W,False,Apple - M4,,4.48kg,547 x 461 x 147 (mm),,,Wi-Fi 6E Bluetooth 5.3,False,Wi-Fi 6E Bluetooth 5.3,,Không,,macOS,macOS,Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực,513,iMac M4 24 inch 2024 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam
514,,,,,,24GB,512GB SSD,,,,False,Apple - M4,,0.73kg,"12,7 x 12,7 x 5,0 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,Loa tích hợp,514,Mac Mini M4 Pro 2024 12CPU 16GPU 24GB/512GB - Chính hãng Apple Việt Nam
515,,,,,,24GB,512GB SSD,,,,False,Apple - M4,,0.67 kg,"12,7 x 12,7 x 5,0 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,Loa tích hợp,515,Mac Mini M4 2024 10CPU 10GPU 24GB/512GB - Chính hãng Apple Việt Nam
516,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3024x1964,14.2 inch,,16GB,512GB SSD,  Force Touch trackpad,"Li-Po 72,4 watt-giờ",Bộ Tiếp Hợp Nguồn USB-C 70W,False,Apple - M4,,1.55kg,"31,26 x 22,12 x 1,55 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",516,MacBook Pro 14 inch M4 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam
517,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3024x1964,14.2 inch,,16GB,1TB SSD,  Force Touch trackpad,"Li-Po 72,4 watt-giờ",Bộ Tiếp Hợp Nguồn USB-C 70W,False,Apple - M4,,1.55kg,"31,26 x 22,12 x 1,55 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",517,MacBook Pro 14 inch M4 10CPU 10GPU 16GB/1TB - Chính hãng Apple Việt Nam
518,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit3 (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3024x1964,14.2 inch,,24GB,512GB SSD,  Force Touch trackpad,"Pin Li-Po 72,4 watt-giờ",Bộ Tiếp Hợp Nguồn USB-C 70W (đi kèm phiên bản M4 Pro với CPU 12 lõi),False,Apple - M4 Pro,,1.60kg,"31,26 x 22,12 x 1,55 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",518,MacBook Pro 14 inch M4 Pro 12CPU 16GPU 24GB/512GB - Chính hãng Apple Việt Nam
519,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit3 (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3024x1964,14.2 inch,,32GB,1TB SSD,  Force Touch trackpad,"Li-Po 72,4 watt-giờ",Bộ Tiếp Hợp Nguồn USB-C 96W,False,Apple - M4 Max,,1.55kg,"31,26 x 22,12 x 1,55 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",519,MacBook Pro 14 inch M4 Max 14CPU 32GPU 36GB/1TB - Chính hãng Apple Việt Nam
520,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit3 (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3456x2234,16.2 inch,,24GB,512GB SSD,  Force Touch trackpad,Pin Li-Po 100 watt-giờ,Bộ Tiếp Hợp Nguồn USB-C 140W,False,Apple - M4 Pro,,2.14kg,"35,57 x 24,81 x 1,68 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",520,MacBook Pro 16 inch M4 Pro 14CPU 20GPU 24GB/512GB - Chính hãng Apple Việt Nam
521,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit3 (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3456x2234,16.2 inch,,48GB,1TB SSD,  Force Touch trackpad,Pin Li-Po 100 watt-giờ,Bộ Tiếp Hợp Nguồn USB-C 140W,False,Apple - M4 Max,,2.15kg,"35,57 x 24,81 x 1,68 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",521,MacBook Pro 16 inch M4 Max 16CPU 40GPU 48GB/1TB - Chính hãng Apple Việt Nam
522,120Hz,"XDR (Extreme Dynamic Range)
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR: 1.000 nit liên tục ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit3 (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone",3456x2234,16.2 inch,,48GB,512GB SSD,  Force Touch trackpad,Pin Li-Po 100 watt-giờ,Bộ Tiếp Hợp Nguồn USB-C 140W,False,Apple - M4 Pro,,2.14kg,"35,57 x 24,81 x 1,68 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,"Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực
Âm thanh stereo rộng
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods 4, AirPods Pro, AirPods Pro 2 và AirPods Max
Dãy ba micrô chất lượng chuẩn studio với tỷ lệ tín hiệu – nhiễu cao và tính năng điều hướng chùm sóng
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",522,MacBook Pro 16 inch M4 Pro 14CPU 20GPU 48GB/512GB - Chính hãng Apple Việt Nam
523,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2880x1864,15.3 inch,,16GB,256GB SSD,  Force Touch trackpad,66.5 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,False,Apple - M3,Kim loại,1.51kg,"Cao: 1,15 cm
Rộng: 34,04 cm
Dài: 23,76 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh sáu loa với loa trầm khử lực
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",523,MacBook Air M3 15.3 inch 8CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam
524,60Hz,True Tone,4480x2520,24 inch,,16GB,256GB SSD,  Đang cập nhật,Đang cập nhật,Adapter 143W,False,Apple - M4,,4.48kg,547 x 461 x 147 (mm),,,Wi-Fi 6E Bluetooth 5.3,False,Wi-Fi 6E Bluetooth 5.3,,Không,,macOS,macOS,Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực,524,iMac M4 24 inch 2024 Nano 10CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam
525,60Hz,True Tone,4480x2520,24 inch,,16GB,256GB SSD,  Đang cập nhật,Đang cập nhật,Adapter 143W,False,Apple - M4,,4.42kg,547 x 461 x 147 (mm),,,Wi-Fi 6E Bluetooth 5.3,False,Wi-Fi 6E Bluetooth 5.3,,Không,,macOS,macOS,Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực,525,iMac M4 24 inch 2024 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam
526,,,,,,16GB,512GB SSD,,,,False,Apple - M4,,0.67 kg,"12,7 x 12,7 x 5,0 cm",,,"Wi‑Fi 6E
Bluetooth v5.3",True,"Wi‑Fi 6E
Bluetooth v5.3",,,,macOS,macOS,Loa tích hợp,526,Mac Mini M4 2024 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam
527,60Hz,"True Tone, Wide color (P3), độ sáng 500 nits",2560x1664,13.6 inch,,8GB,256GB SSD,  Force Touch trackpad,Pin lithium-polymer 52.6 Wh,Adapter 30W USB-C,False,Apple - M2,Vỏ kim loại,1.24 kg,304.1 x 215 x 11.3 (mm),,,"Wi-Fi 6
Bluetooth v5.0",False,"Wi-Fi 6
Bluetooth v5.0",,Không,,macOS,macOS,"Âm thanh nổi, Dolby Atmos",527,MacBook Air M2 13.6 inch 8CPU 8GPU 8GB/256GB - Chính hãng Apple Việt Nam
528,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2560x1664,13.6 inch,,8GB,256GB SSD,  Force Touch trackpad,52.6 Wh,Bộ Tiếp Hợp Nguồn USB-C 30W,False,Apple - M3,Kim loại,1.24kg,"Cao: 1,13 cm
Rộng: 30,41 cm
Dài: 21,5 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh bốn loa
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với tính năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng (M3)
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video (M3)
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",528,MacBook Air M3 13.6 inch 8CPU 8GPU 8GB/256GB - Chính hãng Apple Việt Nam
529,60Hz,True Tone,4480x2520,24 inch,,8GB,512GB SSD,  Đang cập nhật,Đang cập nhật,Adapter 143W,False,Apple - M1,"Nhôm tái chế, kính",4.48kg,547 x 461 x 147 (mm),,,Wi-Fi 6 Bluetooth 5.0,False,Wi-Fi 6 Bluetooth 5.0,,Không,,macOS,macOS,Hệ thống âm thanh 6 loa với loa trầm loại force-cancelling,529,iMac M1 2021 24 inch (8GB/512GB) - Chính hãng Apple Việt Nam
530,60Hz,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",2560x1664,13.6 inch,,16GB,512GB SSD,  Force Touch trackpad,52.6 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,False,Apple - M3,Kim loại,1.24kg,"Cao: 1,13 cm
Rộng: 30,41 cm
Dài: 21,5 cm",,,"Wi-Fi 6E
Bluetooth v5.3",True,"Wi-Fi 6E
Bluetooth v5.3",,Không,,macOS,macOS,"Hệ thống âm thanh bốn loa
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với tính năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng (M3)
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video (M3)
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",530,MacBook Air M3 13.6 inch 8CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam
